,Key Events
0,"""The war to end all wars"": World War I (1914–1918)"
1,Russian Revolution and communism
2,Economic depression
3,The rise of dictatorship
4,The war in Europe
5,Blitzkrieg
6,Operation Barbarossa
7,Turning tides
8,Operation Overlord
9,Final days
10,The war in the Pacific
11,Japanese Expansion
12,Allied offensive
13,Final days
14,The Holocaust
15,The Nuclear Age begins
16,The end of empires: decolonization
17,The Cold War (1947–1991)
18,War by proxy
19,The space race
20,The end of the Cold War
21,Information and communications technology
